NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)
APOBEC3H	1	APOBEC3H
APOD	1	APOD
APOE	1	APOE
APOL1	1	APOL1
APOL2	1	APOL2
APOL3	1	APOL3
APOL4	1	APOL4
APOL6	1	APOL6
APOLD1	1	APOLD1
APOM	1	APOM
APOO	1	APOO
APOOL	1	APOOL
APP	1	APP
APPBP2	1	APPBP2
APPL1	1	APPL1
APPL2	1	APPL2
APRG1	1	C3orf35
APRT	1	APRT
APTR	1	APTR
APTX	1	APTX
AQP1	1	AQP1
AQP11	1	AQP11
AQP3	1	AQP3
AQP7	1	AQP7
AQR	1	AQR
ARAF	1	ARAF
ARAP1	1	ARAP1
ARAP3	1	ARAP3
ARCN1	1	ARCN1
AREL1	1	AREL1
ARF1	1	ARF1
ARF3	1	ARF3
ARF4	1	ARF4
ARF4-AS1	1	ARF4-AS1
ARF5	1	ARF5
ARF6	1	ARF6
ARFGAP1	1	ARFGAP1
ARFGAP2	1	ARFGAP2
ARFGAP3	1	ARFGAP3
ARFGEF1	1	ARFGEF1
ARFGEF1-DT	1	LOC102724708
ARFGEF2	1	ARFGEF2
ARFGEF3	1	ARFGEF3
ARFIP1	1	ARFIP1
ARFIP2	1	ARFIP2
ARFRP1	1	ARFRP1
ARG2	1	ARG2
ARGLU1	1	ARGLU1
ARHGAP1	1	ARHGAP1
ARHGAP10	1	ARHGAP10
ARHGAP11A	1	ARHGAP11A
ARHGAP11A-DT	1	LOC101928042
ARHGAP11B	1	ARHGAP11B
ARHGAP12	1	ARHGAP12
ARHGAP17	1	ARHGAP17
ARHGAP18	1	ARHGAP18
ARHGAP19	1	ARHGAP19
ARHGAP20	1	ARHGAP20
ARHGAP21	1	ARHGAP21
ARHGAP22	1	ARHGAP22
ARHGAP23	1	ARHGAP23
ARHGAP24	1	ARHGAP24
ARHGAP26	1	ARHGAP26
ARHGAP27	1	ARHGAP27
ARHGAP27P1-BPTFP1-KPNA2P3	1	ARHGAP27P1-BPTFP1-KPNA2P3
ARHGAP28	1	ARHGAP28
ARHGAP29	1	ARHGAP29
ARHGAP32	1	ARHGAP32
ARHGAP33	1	ARHGAP33
ARHGAP35	1	ARHGAP35
ARHGAP39	1	ARHGAP39
ARHGAP4	1	ARHGAP4
ARHGAP42	1	ARHGAP42
ARHGAP44	1	ARHGAP44
ARHGAP5	1	ARHGAP5
ARHGAP5-AS1	1	ARHGAP5-AS1
ARHGAP6	1	ARHGAP6
ARHGAP9	1	ARHGAP9
ARHGDIA	1	ARHGDIA
ARHGDIB	1	ARHGDIB
ARHGEF1	1	ARHGEF1
ARHGEF10	1	ARHGEF10
ARHGEF10L	1	ARHGEF10L
ARHGEF11	1	ARHGEF11
ARHGEF12	1	ARHGEF12
ARHGEF17	1	ARHGEF17
ARHGEF17-AS1	1	LOC100287837
ARHGEF18	1	ARHGEF18
ARHGEF19	1	ARHGEF19
ARHGEF2	1	ARHGEF2
ARHGEF25	1	ARHGEF25
ARHGEF26	1	ARHGEF26
